TIME,DEPTH
9.61012,17.9916
9.62012,17.9436
9.63013,17.9436
9.64013,17.9436
9.65013,17.9436
9.66013,17.9436
9.67013,17.9436
9.68013,17.9436
9.69013,17.9436
9.70013,17.9436
9.71013,17.9436
9.72013,17.8953
9.73013,17.8953
9.74013,17.8953
9.75013,17.8953
9.76013,17.8953
9.77013,17.8953
9.78013,17.8953
9.79013,17.8953
9.80013,17.8953
9.81013,17.8953
9.82013,17.8468
9.83013,17.8468
9.84013,17.8468
9.85013,17.8468
9.86013,17.8468
9.87013,17.8468
9.88013,17.8468
9.89013,17.8468
9.90013,17.8468
9.91013,17.8468
9.92013,17.7981
9.93013,17.7981
9.94013,17.7981
9.95013,17.7981
9.96013,17.7981
9.97013,17.7981
9.98013,17.7981
9.99013,17.7981
10.0001,17.7981
10.0101,17.7981
10.0201,17.7492
10.0301,17.7492
10.0401,17.7492
10.0501,17.7492
10.0601,17.7492
10.0701,17.7492
10.0801,17.7492
10.0901,17.7492
10.1001,17.7492
10.1101,17.7492
10.1201,17.7001
10.1301,17.7001
10.1401,17.7001
10.1501,17.7001
10.1601,17.7001
10.1701,17.7001
10.1801,17.7001
10.1901,17.7001
10.2001,17.7001
10.2101,17.7001
10.2201,17.6508
10.2301,17.6508
10.2401,17.6508
10.2501,17.6508
10.2601,17.6508
10.2701,17.6508
10.2801,17.6508
10.2901,17.6508
10.3001,17.6508
10.3101,17.6508
10.3201,17.6013
10.3301,17.6013
10.3401,17.6013
10.3501,17.6013
10.3601,17.6013
10.3701,17.6013
10.3801,17.6013
10.3901,17.6013
10.4001,17.6013
10.4101,17.6013
10.4201,17.5517
10.4301,17.5517
10.4401,17.5517
10.4501,17.5517
10.4601,17.5517
10.4701,17.5517
10.4801,17.5517
10.4901,17.5517
10.5001,17.5517
10.5101,17.5517
10.5201,17.5019
10.5301,17.5019
10.5401,17.5019
10.5501,17.5019
10.5601,17.5019
10.5701,17.5019
10.5801,17.5019
10.5901,17.5019
10.6001,17.5019
10.6101,17.5019
10.6201,17.4519
10.6301,17.4519
10.6401,17.4519
10.6501,17.4519
10.6601,17.4519
10.6701,17.4519
10.6801,17.4519
10.6901,17.4519
10.7001,17.4519
10.7101,17.4519
10.7201,17.4017
10.7302,17.4017
10.7402,17.4017
10.7502,17.4017
10.7602,17.4017
10.7702,17.4017
10.7802,17.4017
10.7902,17.4017
10.8002,17.4017
10.8102,17.4017
10.8202,17.3514
10.8302,17.3514
10.8402,17.3514
10.8502,17.3514
10.8602,17.3514
10.8702,17.3514
10.8802,17.3514
10.8902,17.3514
10.9002,17.3514
10.9102,17.3514
10.9202,17.3009
10.9302,17.3009
10.9402,17.3009
10.9502,17.3009
10.9602,17.3009
10.9702,17.3009
10.9802,17.3009
10.9902,17.3009
11.0002,17.3009
11.0102,17.3009
11.0202,17.2503
11.0302,17.2503
11.0402,17.2503
11.0502,17.2503
11.0602,17.2503
11.0702,17.2503
11.0802,17.2503
11.0902,17.2503
11.1002,17.2503
11.1102,17.2503
11.1202,17.1996
11.1302,17.1996
11.1402,17.1996
11.1502,17.1996
11.1602,17.1996
11.1702,17.1996
11.1802,17.1996
11.1902,17.1996
11.2002,17.1996
11.2102,17.1996
